Test Method,Test Method.msm,,
Sample I. D.,Material Name and Date.mss,,
Specimen Number,11,,
,,,
Time (min),Load (N),% Compression (%),Crosshead (mil)
,,,
0.001,-0.171,0.039,39.9843
0.002,-0.192,0.039,39.9843
0.002,1.092,0.64,39.7441
0.003,2.892,1.713,39.315
0.003,2.408,2.539,38.9843
0.003,2.438,3.327,38.6693
0.004,2.685,4.124,38.3504
0.004,3.196,5.029,37.9882
0.004,2.942,5.876,37.6496
0.005,3.15,6.742,37.3032
0.005,3.127,7.589,36.9646
0.005,3.346,8.455,36.6181
0.006,3.214,9.281,36.2874
0.006,3.379,10.118,35.9528
0.006,3.318,10.925,35.6299
0.007,3.449,11.742,35.3032
0.007,3.303,12.52,34.9921
0.007,3.635,13.346,34.6614
0.008,3.553,14.153,34.3386
0.008,3.912,15,34
0.008,3.711,15.807,33.6772
0.009,4.064,16.653,33.3386
0.009,4.015,17.47,33.0118
0.009,4.347,18.337,32.6654
0.01,4.266,19.163,32.3347
0.01,4.521,20.02,31.9921
0.01,4.446,20.846,31.6614
0.011,4.794,21.703,31.3189
0.011,4.669,22.539,30.9843
0.011,4.943,23.386,30.6457
0.012,4.806,24.213,30.315
0.012,5.113,25.059,29.9764
0.012,5.151,25.896,29.6417
0.013,5.514,26.752,29.2992
0.013,5.441,27.579,28.9685
0.013,5.633,28.405,28.6378
0.014,5.637,29.232,28.3071
0.014,5.897,30.059,27.9764
0.014,5.802,30.876,27.6496
0.015,6.171,31.703,27.3189
0.015,6.144,32.52,26.9921
0.015,6.541,33.346,26.6614
0.016,6.611,34.173,26.3307
0.016,6.976,35.01,25.9961
0.016,7.085,35.846,25.6614
0.017,7.216,36.683,25.3268
0.017,7.439,37.51,24.9961
0.017,7.827,38.346,24.6614
0.018,7.827,39.173,24.3307
0.018,8.272,40.01,23.9961
0.018,8.31,40.837,23.6654
0.019,8.743,41.673,23.3307
0.019,8.878,42.51,22.9961
0.019,9.323,43.346,22.6614
0.02,9.542,44.183,22.3268
0.02,10.069,45.029,21.9882
0.02,10.25,45.866,21.6536
0.021,10.531,46.703,21.3189
0.021,10.692,47.539,20.9843
0.021,11.282,48.366,20.6536
0.022,11.629,49.213,20.315
0.022,11.981,50.039,19.9843
0.022,12.22,50.866,19.6536
0.023,12.879,51.693,19.3228
0.023,13.376,52.53,18.9882
0.023,13.762,53.356,18.6575
0.024,14.271,54.193,18.3228
0.024,14.966,55.02,17.9921
0.024,15.564,55.856,17.6575
0.025,16.088,56.693,17.3228
0.025,16.52,57.53,16.9882
0.025,17.508,58.356,16.6575
0.026,18.054,59.193,16.3228
0.026,19.264,60.03,15.9882
0.026,19.697,60.866,15.6536
0.027,20.769,61.703,15.3189
0.027,21.752,62.539,14.9843
0.027,22.921,63.376,14.6496
0.028,24.087,64.232,14.3071
0.028,24.976,65.059,13.9764
0.028,25.916,65.896,13.6417
0.029,27.404,66.722,13.311
0.029,28.857,67.569,12.9724
0.029,30.497,68.396,12.6417
0.03,31.805,69.232,12.3071
0.03,33.657,70.059,11.9764
0.03,35.589,70.905,11.6378
0.031,38.092,71.732,11.3071
0.031,40.076,72.579,10.9685
0.031,42.188,73.396,10.6417
0.032,44.382,74.232,10.3071
0.032,47.701,75.059,9.9764
0.032,50.74,75.896,9.6417
0.033,55.051,76.722,9.311
0.033,58.058,77.559,8.9764
0.033,62.239,78.376,8.6496
0.034,67.197,79.222,8.311
0.034,74.102,80.049,7.9803
0.034,80.114,80.896,7.6417
0.035,85.969,81.703,7.3189
0.035,93.045,82.549,6.9803
0.035,102.402,83.356,6.6575
0.036,112.262,84.193,6.3228
0.036,123.99,85.01,5.9961
0.036,135.123,85.837,5.6654
0.037,147.896,86.634,5.3465
0.037,163.267,87.47,5.0118
0.037,182.742,88.287,4.685
0.038,202.222,89.144,4.3425
0.038,226.165,89.951,4.0197
0.038,249.162,90.797,3.6811
0.039,274.96,91.604,3.3583
0.039,304.775,92.451,3.0197
0.039,337.955,93.258,2.6969
0.04,374.329,94.075,2.3701
0.04,414.661,94.872,2.0512
0.04,458.864,95.699,1.7205
0.041,506.646,96.506,1.3976
0.041,556.634,97.343,1.063
0.041,610.885,98.15,0.7402
0.042,667.383,98.986,0.4055
0.042,726.282,99.774,0.0906
0.042,786.224,100.6,-0.2402
0.043,849.241,101.407,-0.563
0.043,913.094,102.234,-0.8937
0.043,977.713,103.012,-1.2047
0.044,1009.003,103.415,-1.3661
0.044,1074.486,104.026,-1.6102
0.044,1070.288,103.986,-1.5945
